id,produit,categorie,ville,prix,quantite,montant_total,date
2941,Ordinateur portable,Informatique,Kenitra,7927,17,134759,2026-02-05
2942,Ecran 24 pouces,Informatique,Mohammedia,2033,5,10165,2026-03-15
2943,Ordinateur portable,Informatique,Meknes,7901,13,102713,2026-05-01
2944,Disque SSD 1To,Stockage,Tanger,1280,5,6400,2026-04-16
2945,Scanner,Bureautique,Tetouan,1514,17,25738,2026-05-30
2946,Onduleur,Bureautique,Safi,1599,5,7995,2026-01-28
2947,Clavier mecanique,Accessoires,Mohammedia,462,13,6006,2026-02-19
2948,Souris sans fil,Accessoires,Laayoune,127,5,635,2026-03-14
2949,Scanner,Bureautique,Mohammedia,1222,6,7332,2026-03-26
2950,Souris sans fil,Accessoires,Taza,119,17,2023,2026-02-11
2951,Scanner,Bureautique,Safi,1345,11,14795,2026-03-22
2952,Serveur NAS,Stockage,Laayoune,6036,4,24144,2026-03-25
2953,Casque audio,Accessoires,Safi,342,19,6498,2026-03-02
2954,Ecran 24 pouces,Informatique,Laayoune,1818,7,12726,2026-03-31
2955,Souris sans fil,Accessoires,Safi,136,4,544,2026-05-18
2956,Clavier mecanique,Accessoires,Tanger,392,16,6272,2026-01-11
2957,Ordinateur portable,Informatique,Mohammedia,10129,18,182322,2026-03-25
2958,Serveur NAS,Stockage,Settat,6076,18,109368,2026-03-13
2959,Imprimante laser,Bureautique,Fes,2259,14,31626,2026-03-14
2960,Clavier mecanique,Accessoires,Kenitra,480,1,480,2026-02-10
2961,Souris sans fil,Accessoires,Beni Mellal,120,3,360,2026-04-12
2962,Souris sans fil,Accessoires,Nador,136,9,1224,2026-05-04
2963,Disque SSD 1To,Stockage,Safi,985,11,10835,2026-03-27
2964,Ecran 24 pouces,Informatique,Casablanca,1642,4,6568,2026-02-12
2965,Tablette graphique,Informatique,Safi,1714,20,34280,2026-03-15
2966,Routeur WiFi,Reseau,Nador,735,5,3675,2026-03-21
2967,Routeur WiFi,Reseau,El Jadida,677,7,4739,2026-05-30
2968,Projecteur,Bureautique,Mohammedia,4474,2,8948,2026-03-28
2969,Serveur NAS,Stockage,Settat,6115,19,116185,2026-03-25
2970,Onduleur,Bureautique,Safi,1654,14,23156,2026-03-17
2971,Scanner,Bureautique,Tetouan,1509,7,10563,2026-02-19
2972,Tablette graphique,Informatique,Settat,1795,6,10770,2026-02-22
2973,Onduleur,Bureautique,Nador,1680,4,6720,2026-04-29
2974,Disque SSD 1To,Stockage,Tetouan,1129,9,10161,2026-02-10
2975,Scanner,Bureautique,Beni Mellal,1232,4,4928,2026-03-17
2976,Scanner,Bureautique,Errachidia,1486,16,23776,2026-05-01
2977,Onduleur,Bureautique,Oujda,1546,15,23190,2026-02-27
2978,Tablette graphique,Informatique,Fes,1461,16,23376,2026-02-13
2979,Scanner,Bureautique,Casablanca,1401,20,28020,2026-03-25
2980,Ordinateur portable,Informatique,Mohammedia,8321,9,74889,2026-04-15
2981,Disque SSD 1To,Stockage,Fes,1135,17,19295,2026-03-16
2982,Webcam HD,Accessoires,Marrakech,467,14,6538,2026-01-25
2983,Routeur WiFi,Reseau,Laayoune,692,7,4844,2026-05-12
2984,Imprimante laser,Bureautique,Kenitra,2197,6,13182,2026-03-08
2985,Imprimante laser,Bureautique,Tetouan,2644,5,13220,2026-01-20
2986,Ordinateur portable,Informatique,Tetouan,7792,7,54544,2026-05-23
2987,Routeur WiFi,Reseau,Fes,676,16,10816,2026-03-30
2988,Souris sans fil,Accessoires,Oujda,136,20,2720,2026-02-06
2989,Souris sans fil,Accessoires,Errachidia,120,15,1800,2026-04-29
2990,Serveur NAS,Stockage,Meknes,6236,18,112248,2026-01-09
2991,Ordinateur portable,Informatique,Safi,9878,13,128414,2026-05-23
2992,Projecteur,Bureautique,Tetouan,6004,13,78052,2026-01-12
2993,Onduleur,Bureautique,Dakhla,1329,10,13290,2026-01-07
2994,Ordinateur portable,Informatique,Mohammedia,9329,18,167922,2026-04-14
2995,Scanner,Bureautique,Beni Mellal,1429,4,5716,2026-02-07
2996,Disque SSD 1To,Stockage,Taza,939,16,15024,2026-01-19
2997,Ecran 24 pouces,Informatique,Marrakech,1871,10,18710,2026-05-24
2998,Casque audio,Accessoires,Rabat,418,17,7106,2026-02-13
2999,Serveur NAS,Stockage,Tanger,7308,12,87696,2026-02-11
3000,Clavier mecanique,Accessoires,Dakhla,420,5,2100,2026-04-29
3001,Casque audio,Accessoires,Tanger,332,17,5644,2026-04-29
3002,Switch 24 ports,Reseau,Rabat,1898,4,7592,2026-04-15
3003,Souris sans fil,Accessoires,Laayoune,102,1,102,2026-01-26
3004,Clavier mecanique,Accessoires,Meknes,396,4,1584,2026-02-03
3005,Souris sans fil,Accessoires,Settat,136,14,1904,2026-05-21
3006,Webcam HD,Accessoires,Meknes,440,7,3080,2026-04-09
3007,Onduleur,Bureautique,Meknes,1718,19,32642,2026-02-05
3008,Tablette graphique,Informatique,Settat,1737,4,6948,2026-04-27
3009,Disque SSD 1To,Stockage,Tanger,1300,6,7800,2026-03-05
3010,Webcam HD,Accessoires,Fes,385,13,5005,2026-04-05
3011,Clavier mecanique,Accessoires,Safi,530,15,7950,2026-04-04
3012,Souris sans fil,Accessoires,Nador,112,3,336,2026-03-09
3013,Ecran 24 pouces,Informatique,Oujda,1602,4,6408,2026-04-29
3014,Routeur WiFi,Reseau,Tetouan,650,6,3900,2026-05-22
3015,Routeur WiFi,Reseau,Settat,831,4,3324,2026-01-19
3016,Clavier mecanique,Accessoires,Dakhla,429,4,1716,2026-02-05
3017,Switch 24 ports,Reseau,Nador,2265,6,13590,2026-04-10
3018,Serveur NAS,Stockage,Marrakech,6296,2,12592,2026-01-08
3019,Clavier mecanique,Accessoires,Marrakech,523,18,9414,2026-05-07
3020,Ordinateur portable,Informatique,Kenitra,8577,7,60039,2026-03-29
3021,Casque audio,Accessoires,Meknes,406,1,406,2026-01-10
3022,Ecran 24 pouces,Informatique,Oujda,2001,7,14007,2026-01-01
3023,Imprimante laser,Bureautique,Tanger,2354,13,30602,2026-05-16
3024,Imprimante laser,Bureautique,Fes,2757,11,30327,2026-04-19
3025,Projecteur,Bureautique,Meknes,6133,12,73596,2026-03-27
3026,Souris sans fil,Accessoires,Errachidia,127,13,1651,2026-03-01
3027,Ordinateur portable,Informatique,Dakhla,7881,20,157620,2026-01-24
3028,Ordinateur portable,Informatique,Marrakech,9173,13,119249,2026-03-04
3029,Disque SSD 1To,Stockage,El Jadida,1088,3,3264,2026-02-17
3030,Clavier mecanique,Accessoires,Laayoune,442,6,2652,2026-04-02
3031,Ecran 24 pouces,Informatique,Safi,1909,18,34362,2026-03-21
3032,Ecran 24 pouces,Informatique,Dakhla,2135,20,42700,2026-04-08
3033,Casque audio,Accessoires,Taza,343,5,1715,2026-05-22
3034,Souris sans fil,Accessoires,Meknes,121,13,1573,2026-02-07
3035,Ordinateur portable,Informatique,Safi,8216,15,123240,2026-03-20
3036,Routeur WiFi,Reseau,Nador,771,15,11565,2026-04-22
3037,Disque SSD 1To,Stockage,Tetouan,1046,14,14644,2026-03-15
3038,Disque SSD 1To,Stockage,Tanger,1144,8,9152,2026-01-12
3039,Tablette graphique,Informatique,Rabat,1823,6,10938,2026-03-03
3040,Disque SSD 1To,Stockage,El Jadida,1271,14,17794,2026-02-06
3041,Switch 24 ports,Reseau,El Jadida,2382,17,40494,2026-03-10
3042,Imprimante laser,Bureautique,Oujda,2750,4,11000,2026-05-02
3043,Webcam HD,Accessoires,Oujda,374,7,2618,2026-01-30
3044,Casque audio,Accessoires,Oujda,321,20,6420,2026-05-07
3045,Ecran 24 pouces,Informatique,Marrakech,1589,15,23835,2026-04-08
3046,Ordinateur portable,Informatique,Fes,8040,3,24120,2026-02-01
3047,Routeur WiFi,Reseau,Errachidia,740,4,2960,2026-02-26
3048,Switch 24 ports,Reseau,Settat,1887,16,30192,2026-03-28
3049,Serveur NAS,Stockage,Agadir,5569,20,111380,2026-05-09
3050,Clavier mecanique,Accessoires,Fes,418,15,6270,2026-05-04
3051,Ordinateur portable,Informatique,Casablanca,7407,2,14814,2026-03-14
3052,Tablette graphique,Informatique,Settat,1413,1,1413,2026-04-17
3053,Disque SSD 1To,Stockage,El Jadida,1260,3,3780,2026-02-20
3054,Casque audio,Accessoires,Kenitra,398,10,3980,2026-05-17
3055,Tablette graphique,Informatique,Nador,1801,4,7204,2026-04-12
3056,Ordinateur portable,Informatique,Settat,7460,10,74600,2026-03-19
3057,Ecran 24 pouces,Informatique,Taza,1547,19,29393,2026-05-31
3058,Casque audio,Accessoires,Dakhla,354,9,3186,2026-02-19
3059,Imprimante laser,Bureautique,Kenitra,2429,3,7287,2026-04-04
3060,Tablette graphique,Informatique,Tetouan,1620,20,32400,2026-05-31
3061,Disque SSD 1To,Stockage,Taza,1102,1,1102,2026-05-18
3062,Ecran 24 pouces,Informatique,Oujda,1663,8,13304,2026-02-10
3063,Ordinateur portable,Informatique,Marrakech,9159,18,164862,2026-05-04
3064,Souris sans fil,Accessoires,Mohammedia,128,6,768,2026-05-05
3065,Scanner,Bureautique,Laayoune,1550,13,20150,2026-01-18
3066,Souris sans fil,Accessoires,Meknes,122,2,244,2026-05-12
3067,Tablette graphique,Informatique,Oujda,1811,14,25354,2026-05-22
3068,Onduleur,Bureautique,Errachidia,1293,13,16809,2026-04-07
3069,Disque SSD 1To,Stockage,Nador,1139,13,14807,2026-01-23
3070,Onduleur,Bureautique,Kenitra,1362,12,16344,2026-03-23
3071,Disque SSD 1To,Stockage,Mohammedia,953,19,18107,2026-03-22
3072,Routeur WiFi,Reseau,Agadir,801,4,3204,2026-05-09
3073,Scanner,Bureautique,Casablanca,1170,14,16380,2026-03-09
3074,Souris sans fil,Accessoires,Safi,134,17,2278,2026-04-11
3075,Imprimante laser,Bureautique,Settat,2374,6,14244,2026-02-04
3076,Ecran 24 pouces,Informatique,Mohammedia,1656,9,14904,2026-01-17
3077,Webcam HD,Accessoires,Oujda,435,15,6525,2026-01-13
3078,Projecteur,Bureautique,Dakhla,5272,10,52720,2026-05-07
3079,Projecteur,Bureautique,Dakhla,4839,11,53229,2026-02-04
3080,Onduleur,Bureautique,Agadir,1360,14,19040,2026-03-15
3081,Souris sans fil,Accessoires,Taza,132,15,1980,2026-02-13
3082,Imprimante laser,Bureautique,Tanger,2401,15,36015,2026-04-28
3083,Clavier mecanique,Accessoires,Nador,436,7,3052,2026-01-21
3084,Disque SSD 1To,Stockage,Settat,1041,1,1041,2026-04-12
3085,Serveur NAS,Stockage,Safi,5560,8,44480,2026-02-23
3086,Ecran 24 pouces,Informatique,Agadir,1840,16,29440,2026-03-12
3087,Clavier mecanique,Accessoires,Beni Mellal,398,16,6368,2026-04-15
3088,Tablette graphique,Informatique,Beni Mellal,1394,19,26486,2026-01-31
3089,Switch 24 ports,Reseau,Rabat,1879,9,16911,2026-04-16
3090,Serveur NAS,Stockage,Errachidia,5777,20,115540,2026-04-15
3091,Webcam HD,Accessoires,El Jadida,461,20,9220,2026-01-04
3092,Tablette graphique,Informatique,Safi,1776,18,31968,2026-01-30
3093,Souris sans fil,Accessoires,Fes,134,2,268,2026-01-18
3094,Casque audio,Accessoires,Dakhla,378,8,3024,2026-02-02
3095,Clavier mecanique,Accessoires,Tanger,397,18,7146,2026-02-16
3096,Ecran 24 pouces,Informatique,Marrakech,1908,8,15264,2026-04-05
3097,Ecran 24 pouces,Informatique,Kenitra,1575,7,11025,2026-05-15
3098,Serveur NAS,Stockage,El Jadida,6838,19,129922,2026-01-10
3099,Projecteur,Bureautique,Safi,6164,7,43148,2026-01-01
3100,Ordinateur portable,Informatique,Kenitra,9056,18,163008,2026-02-27
3101,Imprimante laser,Bureautique,Errachidia,2390,6,14340,2026-05-04
3102,Scanner,Bureautique,El Jadida,1237,13,16081,2026-04-17
3103,Imprimante laser,Bureautique,Fes,2403,3,7209,2026-04-25
3104,Clavier mecanique,Accessoires,Rabat,495,12,5940,2026-01-21
3105,Souris sans fil,Accessoires,Tanger,110,8,880,2026-03-15
3106,Casque audio,Accessoires,Tetouan,419,5,2095,2026-03-01
3107,Routeur WiFi,Reseau,Meknes,753,19,14307,2026-01-25
3108,Imprimante laser,Bureautique,Meknes,2287,15,34305,2026-05-12
3109,Serveur NAS,Stockage,Errachidia,6011,19,114209,2026-05-04
3110,Webcam HD,Accessoires,Dakhla,490,14,6860,2026-01-22
3111,Serveur NAS,Stockage,Oujda,5784,4,23136,2026-04-01
3112,Ecran 24 pouces,Informatique,Beni Mellal,1833,12,21996,2026-03-31
3113,Routeur WiFi,Reseau,Nador,666,9,5994,2026-01-27
3114,Ordinateur portable,Informatique,Marrakech,9946,13,129298,2026-02-26
3115,Onduleur,Bureautique,Casablanca,1417,20,28340,2026-02-11
3116,Projecteur,Bureautique,Meknes,5553,6,33318,2026-03-22
3117,Webcam HD,Accessoires,Kenitra,433,17,7361,2026-03-24
3118,Imprimante laser,Bureautique,Marrakech,2303,16,36848,2026-03-01
3119,Casque audio,Accessoires,Safi,305,16,4880,2026-01-27
3120,Serveur NAS,Stockage,Casablanca,6337,11,69707,2026-04-02
3121,Projecteur,Bureautique,Agadir,4682,5,23410,2026-03-25
3122,Clavier mecanique,Accessoires,Meknes,528,7,3696,2026-01-02
3123,Ordinateur portable,Informatique,Settat,9087,13,118131,2026-04-19
3124,Souris sans fil,Accessoires,Tanger,137,13,1781,2026-01-09
3125,Clavier mecanique,Accessoires,Errachidia,509,6,3054,2026-05-29
3126,Ordinateur portable,Informatique,Mohammedia,7622,16,121952,2026-05-16
3127,Onduleur,Bureautique,Casablanca,1255,18,22590,2026-02-21
3128,Serveur NAS,Stockage,Tetouan,5390,12,64680,2026-03-29
3129,Ordinateur portable,Informatique,Settat,8590,10,85900,2026-02-27
3130,Disque SSD 1To,Stockage,Agadir,1086,9,9774,2026-02-18
3131,Ecran 24 pouces,Informatique,Errachidia,1773,16,28368,2026-03-02
3132,Ordinateur portable,Informatique,Marrakech,9189,5,45945,2026-03-29
3133,Clavier mecanique,Accessoires,Agadir,483,9,4347,2026-02-01
3134,Imprimante laser,Bureautique,Settat,2055,17,34935,2026-05-30
3135,Projecteur,Bureautique,Tetouan,4908,15,73620,2026-03-18
3136,Souris sans fil,Accessoires,Mohammedia,105,19,1995,2026-01-31
3137,Onduleur,Bureautique,Safi,1531,1,1531,2026-04-18
3138,Scanner,Bureautique,Taza,1167,8,9336,2026-01-31
3139,Disque SSD 1To,Stockage,Errachidia,1272,8,10176,2026-05-23
3140,Tablette graphique,Informatique,El Jadida,1565,1,1565,2026-02-20
3141,Switch 24 ports,Reseau,Rabat,1821,14,25494,2026-04-26
3142,Clavier mecanique,Accessoires,Nador,502,1,502,2026-03-27
3143,Switch 24 ports,Reseau,El Jadida,2471,15,37065,2026-02-27
3144,Serveur NAS,Stockage,Fes,5308,12,63696,2026-05-10
3145,Clavier mecanique,Accessoires,Safi,514,4,2056,2026-03-21
3146,Webcam HD,Accessoires,Tetouan,376,10,3760,2026-04-17
3147,Serveur NAS,Stockage,El Jadida,5348,9,48132,2026-02-03
3148,Routeur WiFi,Reseau,Rabat,708,18,12744,2026-04-01
3149,Routeur WiFi,Reseau,Tetouan,678,10,6780,2026-03-24
3150,Souris sans fil,Accessoires,Errachidia,113,20,2260,2026-01-23
3151,Switch 24 ports,Reseau,Kenitra,2318,13,30134,2026-04-01
3152,Casque audio,Accessoires,Kenitra,334,7,2338,2026-03-08
3153,Disque SSD 1To,Stockage,Taza,1237,5,6185,2026-02-13
3154,Casque audio,Accessoires,Taza,368,18,6624,2026-02-06
3155,Onduleur,Bureautique,Nador,1494,14,20916,2026-02-01
3156,Onduleur,Bureautique,Safi,1441,8,11528,2026-03-09
3157,Routeur WiFi,Reseau,Tanger,843,17,14331,2026-04-23
3158,Ordinateur portable,Informatique,Nador,8912,4,35648,2026-05-02
3159,Switch 24 ports,Reseau,Nador,2273,7,15911,2026-03-05
3160,Webcam HD,Accessoires,Fes,501,13,6513,2026-03-31
3161,Ordinateur portable,Informatique,Casablanca,8808,6,52848,2026-05-01
3162,Scanner,Bureautique,Dakhla,1439,9,12951,2026-02-19
3163,Scanner,Bureautique,Oujda,1376,19,26144,2026-05-03
3164,Tablette graphique,Informatique,Casablanca,1829,10,18290,2026-04-08
3165,Disque SSD 1To,Stockage,Oujda,1141,8,9128,2026-02-21
3166,Switch 24 ports,Reseau,Settat,2253,16,36048,2026-04-20
3167,Souris sans fil,Accessoires,Errachidia,122,16,1952,2026-02-11
3168,Routeur WiFi,Reseau,Agadir,738,3,2214,2026-05-11
3169,Tablette graphique,Informatique,Laayoune,1565,20,31300,2026-04-12
3170,Ordinateur portable,Informatique,Beni Mellal,7587,6,45522,2026-04-02
3171,Routeur WiFi,Reseau,Marrakech,858,8,6864,2026-05-28
3172,Routeur WiFi,Reseau,Agadir,655,8,5240,2026-05-16
3173,Routeur WiFi,Reseau,El Jadida,774,4,3096,2026-01-01
3174,Souris sans fil,Accessoires,Beni Mellal,114,10,1140,2026-01-30
3175,Webcam HD,Accessoires,Marrakech,492,10,4920,2026-05-18
3176,Disque SSD 1To,Stockage,Tanger,1302,4,5208,2026-01-12
3177,Switch 24 ports,Reseau,Errachidia,2193,8,17544,2026-01-07
3178,Casque audio,Accessoires,Oujda,303,10,3030,2026-02-24
3179,Disque SSD 1To,Stockage,Laayoune,986,9,8874,2026-03-27
3180,Ordinateur portable,Informatique,Fes,10031,15,150465,2026-03-19
3181,Onduleur,Bureautique,Nador,1372,8,10976,2026-03-08
3182,Onduleur,Bureautique,Meknes,1277,2,2554,2026-03-11
3183,Tablette graphique,Informatique,Nador,1799,9,16191,2026-03-20
3184,Disque SSD 1To,Stockage,Safi,1178,17,20026,2026-01-24
3185,Casque audio,Accessoires,Settat,346,9,3114,2026-01-09
3186,Ecran 24 pouces,Informatique,Mohammedia,2044,8,16352,2026-04-25
3187,Ordinateur portable,Informatique,Kenitra,9232,12,110784,2026-01-20
3188,Casque audio,Accessoires,Nador,320,5,1600,2026-01-20
3189,Routeur WiFi,Reseau,Errachidia,899,19,17081,2026-01-28
3190,Webcam HD,Accessoires,El Jadida,445,7,3115,2026-01-19
3191,Serveur NAS,Stockage,Casablanca,6844,8,54752,2026-05-16
3192,Webcam HD,Accessoires,Taza,495,8,3960,2026-05-21
3193,Disque SSD 1To,Stockage,El Jadida,1107,18,19926,2026-01-17
3194,Ordinateur portable,Informatique,Rabat,8160,12,97920,2026-03-26
3195,Disque SSD 1To,Stockage,Marrakech,1016,4,4064,2026-03-06
3196,Scanner,Bureautique,Mohammedia,1416,13,18408,2026-03-01
3197,Webcam HD,Accessoires,Errachidia,431,11,4741,2026-02-28
3198,Switch 24 ports,Reseau,Errachidia,1927,4,7708,2026-02-23
3199,Disque SSD 1To,Stockage,El Jadida,1155,13,15015,2026-05-29
3200,Serveur NAS,Stockage,Rabat,5971,5,29855,2026-05-30
3201,Disque SSD 1To,Stockage,Taza,1005,9,9045,2026-03-23
3202,Scanner,Bureautique,Meknes,1509,18,27162,2026-03-26
3203,Casque audio,Accessoires,Agadir,419,19,7961,2026-05-19
3204,Souris sans fil,Accessoires,Marrakech,104,7,728,2026-02-23
3205,Tablette graphique,Informatique,Dakhla,1385,11,15235,2026-05-29
3206,Tablette graphique,Informatique,El Jadida,1501,14,21014,2026-05-28
3207,Tablette graphique,Informatique,Safi,1614,10,16140,2026-02-25
3208,Ordinateur portable,Informatique,Beni Mellal,8474,9,76266,2026-01-01
3209,Ordinateur portable,Informatique,Agadir,9797,18,176346,2026-01-10
3210,Souris sans fil,Accessoires,Safi,134,4,536,2026-05-10
3211,Switch 24 ports,Reseau,Tanger,1999,9,17991,2026-03-14
3212,Tablette graphique,Informatique,Laayoune,1866,4,7464,2026-02-09
3213,Switch 24 ports,Reseau,Laayoune,2432,7,17024,2026-03-29
3214,Routeur WiFi,Reseau,Casablanca,831,5,4155,2026-01-09
3215,Onduleur,Bureautique,Casablanca,1490,17,25330,2026-02-12
3216,Ordinateur portable,Informatique,Casablanca,8386,11,92246,2026-01-29
3217,Scanner,Bureautique,Mohammedia,1423,16,22768,2026-02-01
3218,Casque audio,Accessoires,Dakhla,314,14,4396,2026-05-08
3219,Imprimante laser,Bureautique,Laayoune,2652,7,18564,2026-05-19
3220,Serveur NAS,Stockage,Marrakech,5557,17,94469,2026-04-30
3221,Projecteur,Bureautique,Tanger,4859,5,24295,2026-02-04
3222,Ordinateur portable,Informatique,Beni Mellal,8450,3,25350,2026-02-09
3223,Switch 24 ports,Reseau,Fes,1866,9,16794,2026-01-16
3224,Ordinateur portable,Informatique,Oujda,8488,2,16976,2026-05-10
3225,Projecteur,Bureautique,Taza,5839,2,11678,2026-01-26
3226,Souris sans fil,Accessoires,Errachidia,143,19,2717,2026-03-26
3227,Tablette graphique,Informatique,Meknes,1497,17,25449,2026-02-13
3228,Disque SSD 1To,Stockage,Agadir,1071,16,17136,2026-03-04
3229,Ordinateur portable,Informatique,Beni Mellal,7522,12,90264,2026-04-11
3230,Casque audio,Accessoires,Dakhla,332,13,4316,2026-02-03
3231,Switch 24 ports,Reseau,Tetouan,1809,6,10854,2026-04-29
3232,Imprimante laser,Bureautique,Marrakech,2197,3,6591,2026-03-09
3233,Switch 24 ports,Reseau,Casablanca,2262,11,24882,2026-02-12
3234,Tablette graphique,Informatique,Errachidia,1559,1,1559,2026-03-31
3235,Imprimante laser,Bureautique,Meknes,2458,14,34412,2026-02-27
3236,Onduleur,Bureautique,Meknes,1673,20,33460,2026-05-21
3237,Imprimante laser,Bureautique,Rabat,2356,12,28272,2026-01-03
3238,Imprimante laser,Bureautique,Casablanca,2627,20,52540,2026-04-08
3239,Routeur WiFi,Reseau,Fes,662,6,3972,2026-01-11
3240,Ordinateur portable,Informatique,Rabat,9934,7,69538,2026-05-14
3241,Onduleur,Bureautique,Marrakech,1484,10,14840,2026-01-03
3242,Serveur NAS,Stockage,Fes,6703,3,20109,2026-03-05
3243,Ecran 24 pouces,Informatique,Beni Mellal,1822,7,12754,2026-01-27
3244,Imprimante laser,Bureautique,El Jadida,1972,15,29580,2026-05-22
3245,Clavier mecanique,Accessoires,Beni Mellal,408,5,2040,2026-03-21
3246,Tablette graphique,Informatique,Tanger,1783,11,19613,2026-04-07
3247,Casque audio,Accessoires,Kenitra,385,7,2695,2026-01-01
3248,Ecran 24 pouces,Informatique,Errachidia,1713,8,13704,2026-01-08
3249,Switch 24 ports,Reseau,Dakhla,2271,9,20439,2026-05-31
3250,Clavier mecanique,Accessoires,Casablanca,389,16,6224,2026-03-07
3251,Webcam HD,Accessoires,Mohammedia,472,15,7080,2026-04-18
3252,Casque audio,Accessoires,Laayoune,310,1,310,2026-04-19
3253,Ordinateur portable,Informatique,Fes,8485,14,118790,2026-01-22
3254,Clavier mecanique,Accessoires,Tanger,507,20,10140,2026-02-18
3255,Ecran 24 pouces,Informatique,Fes,2019,5,10095,2026-03-31
3256,Onduleur,Bureautique,Taza,1538,1,1538,2026-01-06
3257,Webcam HD,Accessoires,Rabat,499,2,998,2026-02-09
3258,Disque SSD 1To,Stockage,Oujda,1303,13,16939,2026-01-25
3259,Ordinateur portable,Informatique,Marrakech,8474,15,127110,2026-02-27
3260,Casque audio,Accessoires,Tetouan,316,3,948,2026-01-03
3261,Routeur WiFi,Reseau,Safi,765,16,12240,2026-01-25
3262,Routeur WiFi,Reseau,Mohammedia,785,13,10205,2026-03-27
3263,Webcam HD,Accessoires,Casablanca,409,10,4090,2026-04-08
3264,Souris sans fil,Accessoires,Casablanca,107,10,1070,2026-01-22
3265,Casque audio,Accessoires,Settat,305,20,6100,2026-01-15
3266,Serveur NAS,Stockage,Dakhla,5721,11,62931,2026-05-12
3267,Clavier mecanique,Accessoires,Taza,434,9,3906,2026-03-31
3268,Webcam HD,Accessoires,Settat,429,16,6864,2026-04-22
3269,Serveur NAS,Stockage,Beni Mellal,6268,4,25072,2026-05-19
3270,Onduleur,Bureautique,Oujda,1250,11,13750,2026-01-10
3271,Serveur NAS,Stockage,Laayoune,5644,12,67728,2026-05-21
3272,Disque SSD 1To,Stockage,Dakhla,1056,18,19008,2026-03-28
3273,Routeur WiFi,Reseau,Tanger,748,20,14960,2026-04-18
3274,Projecteur,Bureautique,Rabat,4811,20,96220,2026-05-04
3275,Imprimante laser,Bureautique,Meknes,2207,8,17656,2026-03-29
3276,Tablette graphique,Informatique,Meknes,1433,10,14330,2026-05-15
3277,Clavier mecanique,Accessoires,Oujda,504,3,1512,2026-03-13
3278,Switch 24 ports,Reseau,Dakhla,2514,11,27654,2026-05-10
3279,Webcam HD,Accessoires,Meknes,469,6,2814,2026-03-20
3280,Clavier mecanique,Accessoires,Meknes,424,3,1272,2026-02-02
3281,Imprimante laser,Bureautique,Dakhla,2405,13,31265,2026-01-15
3282,Projecteur,Bureautique,Casablanca,5339,15,80085,2026-02-26
3283,Imprimante laser,Bureautique,Taza,2665,17,45305,2026-04-20
3284,Tablette graphique,Informatique,Kenitra,1425,19,27075,2026-01-15
3285,Tablette graphique,Informatique,Laayoune,1574,2,3148,2026-05-14
3286,Serveur NAS,Stockage,Beni Mellal,6904,7,48328,2026-02-09
3287,Imprimante laser,Bureautique,Dakhla,2100,16,33600,2026-02-25
3288,Imprimante laser,Bureautique,Fes,2369,2,4738,2026-01-25
3289,Ecran 24 pouces,Informatique,Casablanca,1965,10,19650,2026-03-21
3290,Scanner,Bureautique,Settat,1381,10,13810,2026-05-28
3291,Switch 24 ports,Reseau,Safi,2171,16,34736,2026-01-18
3292,Tablette graphique,Informatique,Safi,1890,20,37800,2026-02-06
3293,Webcam HD,Accessoires,Tetouan,383,14,5362,2026-01-12
3294,Switch 24 ports,Reseau,Dakhla,1848,14,25872,2026-03-11
3295,Serveur NAS,Stockage,Tetouan,6900,10,69000,2026-05-12
3296,Onduleur,Bureautique,Oujda,1448,19,27512,2026-01-07
3297,Scanner,Bureautique,Rabat,1511,4,6044,2026-03-05
3298,Switch 24 ports,Reseau,Errachidia,2218,16,35488,2026-02-20
3299,Switch 24 ports,Reseau,Casablanca,2226,7,15582,2026-05-22
3300,Projecteur,Bureautique,Fes,6015,13,78195,2026-05-26
3301,Casque audio,Accessoires,Agadir,419,20,8380,2026-01-06
3302,Ecran 24 pouces,Informatique,Casablanca,1769,4,7076,2026-03-25
3303,Serveur NAS,Stockage,Rabat,5728,18,103104,2026-04-13
3304,Ecran 24 pouces,Informatique,Casablanca,2108,16,33728,2026-04-12
3305,Ecran 24 pouces,Informatique,Casablanca,2087,1,2087,2026-04-05
3306,Onduleur,Bureautique,Fes,1289,18,23202,2026-05-25
3307,Onduleur,Bureautique,Casablanca,1601,19,30419,2026-02-18
3308,Webcam HD,Accessoires,Rabat,501,10,5010,2026-03-03
3309,Routeur WiFi,Reseau,Taza,764,5,3820,2026-01-07
3310,Routeur WiFi,Reseau,Rabat,886,15,13290,2026-05-15
3311,Tablette graphique,Informatique,Agadir,1619,1,1619,2026-01-28
3312,Switch 24 ports,Reseau,Agadir,2369,1,2369,2026-01-25
3313,Projecteur,Bureautique,Marrakech,5802,1,5802,2026-04-30
3314,Ecran 24 pouces,Informatique,Oujda,1547,10,15470,2026-05-23
3315,Webcam HD,Accessoires,Tetouan,439,17,7463,2026-04-18
3316,Onduleur,Bureautique,Agadir,1310,17,22270,2026-04-08
3317,Souris sans fil,Accessoires,Meknes,113,10,1130,2026-03-09
3318,Tablette graphique,Informatique,Meknes,1370,7,9590,2026-01-05
3319,Clavier mecanique,Accessoires,Beni Mellal,468,11,5148,2026-01-19
3320,Souris sans fil,Accessoires,Beni Mellal,102,5,510,2026-01-10
3321,Tablette graphique,Informatique,El Jadida,1867,18,33606,2026-04-08
3322,Routeur WiFi,Reseau,Nador,703,7,4921,2026-03-29
